title,function,industries,cluster
specialist assembly tooling,management and manufacturing,renewable energy semiconductor manufacturing,9
"investor relations, finance","marketing, public relations, and writing/editing",staffing and recruiting,9
data architect,information technology,renewable energy semiconductor manufacturing,9
scada engineer,engineering,renewable energy semiconductor manufacturing,9
lead manager for module tech leads and integration,engineering,renewable energy semiconductor manufacturing,9
converter simulation engineer,engineering,renewable energy semiconductor manufacturing,9
lead developer floating segment,engineering and information technology,renewable energy semiconductor manufacturing,9
supply chain specialist,management and manufacturing,staffing and recruiting,9
lead software project manager,project management and information technology,renewable energy semiconductor manufacturing,9
quality supervisor,quality assurance,staffing and recruiting,9
senior sales manager - offshore,sales and business development,renewable energy semiconductor manufacturing,9
service product manager,engineering,renewable energy semiconductor manufacturing,9
"lead electrical engineer, nordics (north & west region)",engineering,renewable energy semiconductor manufacturing,9
(lead) power plant solutions engineer,engineering,renewable energy semiconductor manufacturing,9
category manager global procurement,marketing and sales,renewable energy semiconductor manufacturing,9
delivery manager /agile coach,management and manufacturing,renewable energy semiconductor manufacturing,9
commodity specialist,purchasing and supply chain,renewable energy semiconductor manufacturing,9
"intern, internal & leadership communications",administrative,renewable energy semiconductor manufacturing,9
scrum master,engineering and information technology,renewable energy semiconductor manufacturing,9
construction engineer (f/m/d),management and manufacturing,renewable energy semiconductor manufacturing,9
specialist supplier relationships,management and manufacturing,renewable energy semiconductor manufacturing,9
commodity lead,purchasing and supply chain,renewable energy semiconductor manufacturing,9
category manager global procurement,marketing and sales,staffing and recruiting,9
software project manager,project management and information technology,renewable energy semiconductor manufacturing,9
commodity specialist,purchasing and supply chain,renewable energy semiconductor manufacturing,9
portfolio strategy lead,finance and sales,staffing and recruiting,9
senior specialist training and competency development,other,renewable energy semiconductor manufacturing,9
senior purchaser (f/m/d),purchasing and supply chain,renewable energy semiconductor manufacturing,9
hse continuous improvement specialist,other,renewable energy semiconductor manufacturing,9
data engineer,information technology,renewable energy semiconductor manufacturing,9
purchasing manager,purchasing and supply chain,renewable energy semiconductor manufacturing,9
senior project manager,project management and information technology,renewable energy semiconductor manufacturing,9
business process consultant (m/f/d),management and manufacturing,renewable energy semiconductor manufacturing,9
construction cost analyst,finance and sales,staffing and recruiting,9
(lead) power plant solutions engineer,engineering and information technology,staffing and recruiting,9
"construction cost analyst (aarhus n, region central jutland, dk)",finance and sales,"renewable energy semiconductor manufacturing, environmental services, and oil and gas",9
head of offshore construction,management and manufacturing,renewable energy semiconductor manufacturing,9
software project manager,project management and information technology,staffing and recruiting,9
contract manager,legal,renewable energy semiconductor manufacturing,9
global internship (23/24),education and training,"technology, information and internet",10
business trainee,education and training,"technology, information and internet",10
trainee (high school),other,"technology, information and internet",10
graduate programme,education and training,"technology, information and internet",10
business intern,education and training,"technology, information and internet",10
global internship program (12 month) 23/24,education and training,"technology, information and internet",10
business analyst,"research, analyst, and information technology","technology, information and internet",10
junior analyst,business development and sales,"technology, information and internet",10
global intern,education and training,"technology, information and internet",10
investment intern,finance and sales,"technology, information and internet",10
marketing intern,marketing and sales,"technology, information and internet",10
internship (1 år),education and training,"technology, information and internet",10
junior analyst,business development and sales,"technology, information and internet",10
finance internship,finance and sales,"technology, information and internet",10
business analyst,"research, analyst, and information technology","technology, information and internet",10
finance trainee,finance and sales,"technology, information and internet",10
business trainee,education and training,"technology, information and internet",10
global internship program at nova founders capital,education and training,"technology, information and internet",10
research internship,"research, analyst, and information technology","technology, information and internet",10
investment intern,finance and sales,"technology, information and internet",10
junior analyst,business development and sales,"technology, information and internet",10
investment intern,finance and sales,"technology, information and internet",10
finance intern,finance and sales,"technology, information and internet",10
entrepreneur intern,business development and sales,"technology, information and internet",10
business analyst,"research, analyst, and information technology","technology, information and internet",10
talent internship program (1 år),human resources,"technology, information and internet",10
global internship program (12 month) 23/24,education and training,"technology, information and internet",10
entrepreneur intern,business development and sales,"technology, information and internet",10
ux/ui design internship - start 1. semester 2024,other,staffing and recruiting,11
business intelligence intern,business development and sales,advertising services,11
industrioperatør i højteknologisk produktionsvirksomhed,,,11
global internship program at nova founders capital (12 month program) 23/24,education and training,"technology, information and internet",11
influencer campaign manager intern,other,advertising services,11
leadership trainee,other,"technology, information and internet",11
process engineering manager til farmaceutisk virksomhed,engineering and information technology,staffing and recruiting,11
projektledere og specialister til fjernvarmeafdeling,"project management, consulting, and engineering",civil engineering and business consulting and services,11
real estate - 1 year high school graduate program,sales and management,"technology, information and internet",11
high school graduate,education and training,"technology, information and internet",11
finance trainee,finance and sales,"technology, information and internet",11
seo manager intern,marketing and sales,advertising services,11
marketing & content creation internship start 1. semester 2024,marketing and sales,staffing and recruiting,11
web analytics & optimization intern,"marketing, public relations, and writing/editing",advertising services,11
business central solution architect,,,11
"projektleder congress, meetings & events",project management and information technology,hospitality,11
er du interesseret i revision af landets største offentlige økonomier og opgaver relateret hertil - så er det måske dig vi søger,accounting/auditing and finance,accounting,11
praktik: content creator,"marketing, public relations, and writing/editing",staffing and recruiting,11
strategy & insight intern,education and training,advertising services,11
afgangselev,other,"technology, information and internet",11
sales manager,,,11
hr & hse manager,human resources,motor vehicle manufacturing,11
"production planner, produktionsplanlægger",,,11
group lead,other,renewable energy semiconductor manufacturing,11
investment trainee,finance and sales,"technology, information and internet",11
digital performance intern,"design, art/creative, and information technology",advertising services,11
"leder af beta.health, aarhus universitetshospital",health care provider,"it services and it consulting, government administration, and hospitals and health care",11
group lead,other,renewable energy semiconductor manufacturing,11
project manager intern,project management and information technology,advertising services,11
collaboration sales specialist,sales and business development,it services and it consulting,11
business consultant - logic apps,"consulting, information technology, and sales",it services and it consulting,11
revisor,,,11
internship in engineering department,engineering and information technology,"appliances, electrical, and electronics manufacturing",11
broadcast intern,"marketing, public relations, and writing/editing",advertising services,11
mechanical engineer,engineering and information technology,computers and electronics manufacturing,12
chartering manager - m.h. simonsen,management and manufacturing,maritime transportation,12
medical science liaison (msl),"research, analyst, and information technology",staffing and recruiting,12
buyer | boutique,"purchasing, strategy/planning, and product management",retail,12
business to business director,business development and sales,retail,12
"director, clean ammonia and hydrogen",other,it services and it consulting,12
svanehøj is looking for a commissioning and warranty manager for offshore and marine projects,project management,human resources services,12
project manager,project management and information technology,it services and it consulting,12
communications coordinator,"marketing, writing/editing, and project management",oil and gas,12
purchaser,purchasing and supply chain,staffing and recruiting,12
supply chain manager,management and manufacturing,food and beverage services,12
"qa manager, software development",quality assurance,retail,12
kitchen crew,management and manufacturing,food and beverage services,12
consultant - supply chain management,consulting and supply chain,"transportation, logistics, supply chain and storage, truck transportation, and warehousing and storage",12
technical project engineer,information technology,maritime transportation,12
executive assistant to coo,"strategy/planning, administrative, and project management",computers and electronics manufacturing,12
low voltage site engineer,engineering and project management,construction and renewable energy semiconductor manufacturing,12
qa specialist and qp (delegated qp),quality assurance,pharmaceutical manufacturing,12
senior project manager (veovo),project management and information technology,information technology & services,12
assistant head chef,"general business, management, and business development",food and beverage services,12
it and logistic support,"information technology, supply chain, and administrative",aviation and aerospace component manufacturing,12
product quality lead,other,computers and electronics manufacturing,12
sap s/4 hana senior consultant / manager procure to pay,other,"technology, information and internet",12
senior petroleum engineer,engineering and information technology,oil and gas,12
chief project manager - global capex,project management and information technology,food and beverage manufacturing,12
head of project excellence – cbs – flexible working,management and manufacturing,staffing and recruiting,12
counsel,legal,"it services and it consulting, technology, information and internet, and financial services",12
recruiter bootcamp and project work (remote -part-time),human resources,staffing and recruiting,12
quality engineer,engineering,industrial machinery manufacturing,12
gallery manager & communications lead,,,12
financial auditor,accounting/auditing and finance,accounting,12
program director,business development and sales,staffing and recruiting,12
marine project engineer with plc experience,"other, information technology, and management","appliances, electrical, and electronics manufacturing",12
food regulatory specialist - aarhus,management and manufacturing,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
sap supply chain analyst - onshore wind,information technology,utilities,12
operational excellence director | flexible bagsværd,management and manufacturing,staffing and recruiting,12
assistant cra,research and science,biotechnology research and pharmaceutical manufacturing,12
electrical engineer,engineering and information technology,staffing and recruiting,12
procurement manager,purchasing and supply chain,"transportation, logistics, supply chain and storage",12
dse fair 2023,"general business, other, and engineering","automation machinery manufacturing, industrial machinery manufacturing, and machinery manufacturing",12
assistant head chef,"general business, management, and business development",food and beverage services,12
junior supply chain analyst,strategy/planning,"appliances, electrical, and electronics manufacturing, industrial machinery manufacturing, and machinery manufacturing",12
communications manager,"marketing, public relations, and writing/editing","transportation, logistics, supply chain and storage",12
business development director – marine,business development and sales,staffing and recruiting,12
internship in project management,project management and information technology,biotechnology research,12
it senior project manager,project management and information technology,food and beverage services,12
business solution specialist,"consulting, information technology, and sales",retail,12
it operations manager,information technology,staffing and recruiting,12
lead mechanical engineer,engineering,manufacturing,12
#new spirit offshore programme - your entry point into the exciting world of offshore wind,other,utilities,12
customer project manager - green hydrogen systems,project management and information technology,human resources,12
manufacturing support scientist,"research, analyst, and information technology",biotechnology research,12
satellite operations superintendent,management and manufacturing,oil and gas,12
executive assistant operations - copenhagen,administrative,personal care product manufacturing and manufacturing,12
planning engineer,strategy/planning and project management,"construction, architecture and planning, and civil engineering",12
global head of fraud,finance and sales,financial services,12
onshore civil engineer,engineering,civil engineering and industrial machinery manufacturing,12
senior category manager - indirect procurement (f/m/x),marketing and sales,"technology, information and internet",12
electrical engineer,engineering,civil engineering and pharmaceutical manufacturing,12
"technician, mammalian upstream, manufacturing",management and manufacturing,biotechnology research,12
talent acquisition/hr manager: bootcamp and project work (remote – part-time),human resources,staffing and recruiting,12
quality assurance coordinator,quality assurance,"appliances, electrical, and electronics manufacturing",12
logistics controller & procurement manager,management and manufacturing,oil and gas,12
"executive director quality, (primary qualified person)",quality assurance,pharmaceutical manufacturing,12
project manager service,other,renewable energy equipment manufacturing,12
r&d manager,science,research services,12
site quality inspector - onshore substation,quality assurance,renewable energy semiconductor manufacturing,12
able seamen,management and manufacturing,maritime,12
scrum master,engineering and information technology,staffing and recruiting,12
principal scientist,"research, analyst, and information technology",staffing and recruiting,12
plant inspector,management and manufacturing,staffing and recruiting,12
"electrical engineer / construction project manager, supercharging, denmark",engineering and information technology,"renewable energy semiconductor manufacturing, motor vehicle manufacturing, and utilities",12
mechanical engineer,engineering,civil engineering and pharmaceutical manufacturing,12
senior it project manager,project management and information technology,it services and it consulting,12
head of analytics nordics,analyst,financial services,12
junior quantity surveyor,management and manufacturing,staffing and recruiting,12
communications leader,public relations and writing/editing,"medical equipment manufacturing, biotechnology research, and pharmaceutical manufacturing",12
students for strategic sustainability consulting in aarhus,management,civil engineering,12
scrum master,engineering and information technology,staffing and recruiting,12
junior engineers,engineering and information technology,maritime,12
scrum master,engineering and information technology,staffing and recruiting,12
project controller – urgent hire,accounting/auditing and finance,staffing and recruiting,12
p|esg lead,other,"technology, information and internet",12
it systems service delivery management officer,information technology,international affairs,12
professional for regulatory affairs cmc,legal,"technology, information and internet",12
"medical affairs director, the nordics",health care provider,"technology, information and internet",12
junior supply chain analyst,management and manufacturing,wholesale building materials,12
mechanical engineer,science,research services,12
product quality manager,quality assurance,biotechnology research,12
omnichannel buyer,"purchasing, strategy/planning, and product management",retail apparel and fashion,12
senior quality assurance manager,quality assurance,food and beverage services,12
president,,,12
buyer - electronic components,purchasing and supply chain,"appliances, electrical, and electronics manufacturing and retail luxury goods and jewelry",12
health & safety coordinator,health care provider,public safety and pharmaceutical manufacturing,12
"head of property & expansion, asia",sales and management,staffing and recruiting,12
chemist,"research, analyst, and information technology",staffing and recruiting,12
business to business director,management and business development,retail,12
technical superintendent - m.h. simonsen,engineering and information technology,maritime transportation,12
project manager,project management and information technology,industrial machinery manufacturing,12
compliance manager,legal and quality assurance,"retail apparel and fashion, design services, and retail luxury goods and jewelry",12
senior global customer support manager,other,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
projects manager - emea,project management and information technology,it services and it consulting,12
global procurement lead,"finance, management, and purchasing","capital markets, venture capital and private equity principals, and investment management",12
qa/qc officer,quality assurance,aviation and aerospace component manufacturing,12
business manager in performance & business management,business development,it services and it consulting and financial services,12
process engineer,science,research services,12
junior consultant in management consulting,,,12
label coordinator,,,12
it business systems analyst,information technology,"appliances, electrical, and electronics manufacturing, industrial machinery manufacturing, and machinery manufacturing",12
chief project manager,project management and strategy/planning,it services and it consulting and financial services,12
head of project excellence – cbs,management and manufacturing,staffing and recruiting,12
clinical trial associate,"research, analyst, and information technology",staffing and recruiting,12
green innovation consultant,"engineering, design, and research",staffing and recruiting,12
administrative assistant (kontorelev),administrative and customer service,"legal services, financial services, and accounting",12
"project director, floating offshore wind",engineering and information technology,staffing and recruiting,12
product manager,"business development, product management, and strategy/planning","industrial machinery manufacturing, food and beverage manufacturing, and international trade and development",12
project manager - pharmaceutical industry,"consulting, engineering, and manufacturing","business consulting and services, biotechnology research, and pharmaceutical manufacturing",12
principal architect (6 months freelance remote contract),"design, art/creative, and information technology","technology, information and internet",12
head of project excellence – remote,management and manufacturing,staffing and recruiting,12
associate vice president r&d,other,biotechnology research,12
logistics analyst,management and manufacturing,"technology, information and internet",12
junior project manager,project management and information technology,staffing and recruiting,12
"global category manager (12 months maternity cover), arla pro - aarhus",marketing and sales,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
global program development manager,"research, design, and engineering",industrial machinery manufacturing,12
senior buyer,purchasing,"appliances, electrical, and electronics manufacturing",12
industrial engineer,management and manufacturing,wholesale building materials,12
"legal counsel /data privacy, viby",legal,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
scrum master,engineering and information technology,staffing and recruiting,12
senior project manager – ports and marine,engineering,civil engineering,12
purchasing manager - services and products,purchasing and supply chain,hospitals and health care,12
d.365 fo finance consultant - aarhus,finance and sales,staffing and recruiting,12
cic team leader,information technology,"who we arewe are essilorluxottica, a global leader in the design, manufacture and distribution of ophthalmic lenses, frames and sunglasses. the company brings together the complementary expertise of two industry pioneers, one in advanced lens technologies and the other in the craftsmanship of iconic eyewear, to create a vertically integrated business that is uniquely positioned to address the world’s evolving vision needs and the global demand of a growing eyewear industry.with over 180,000 dedicated employees in 150 countries driving our iconic brands, our people are creative, entrepreneurial and celebrated for their unique perspectives and individuality. committed to vision, we enable people to “see more and be more” thanks to our innovative designs and lens technologies, exceptional quality and cutting-edge processing methods. every day we impact the lives of millions by changing the way people see the world.responsibilities job scope and main responsibilities working as customer interaction centre team leader on the lens side of the business, you will lead and motivate the local cic team (7 people), taking responsibility to deliver the objectives/kpis (quantitative and qualitative) for customer service.you will be responsible for the effective evolution of the department with a vision to provide the best possible essilorluxottica experience to our customers (primarily ecps), ensuring that front office contact points are of the highest quality to make the customer experience the best in the market, generating customer loyalty and adding value to the business. through the effective coaching and support of your team, you will manage projects aimed at improving, and, when possible, modernizing the customer experience and elevating essilorluxottica’s image in the customer’s eyes.you will oversee the local customer service team activities, strategically and proactively, maintaining high levels of productivity and efficiency within the department. you will work in a compliance centered business where you will play an active part in defining processes, plans and policies, and will be responsible for cascading these to other members of staff. areas of responsibility and related activities  provide customers with a variety of solutions, support and information at the time of interaction. topics include order chase, order place, order queries, stock issues, technical, resolve edi queries, deliveries, pricing and promotion. deliver customer call backs to agreed timelines. log all calls received or made.  developing customer service strategies to ensure the achievement of departmental and company objectives, whilst meeting customer satisfaction targets.  recruiting and training customer service personnel.  monitoring your team’s performance and motivating them to reach targets.  the development of processes and systems to support customer and business objectives.  mentoring and training front office agents, monitored through regular feedback, 1-2-1’s and yearly performance process.  actively supporting a culture of best practice and continuous improvement.  managing employee relation issues in line with hr regulations.  network of interaction you will develop relations with key stakeholders and be part of a wider team across the essilorluxotticaorganization, supporting our customers.internal: order processing team, technical & returns, commercial, marketing, production, quality, finance, instruments, nordic cic team.external: customers, labs and suppliers. portrait of a perfect candidate  has a diploma in optometry.  experience of managing a results and service driven team, ideally within a contact centre environment.  excellent written danish and english language, verbal and interpersonal communication skills.  a proactive and organized approach, with the ability to manage multiple initiatives and stakeholders in a fast-paced environment.  ideally previous use of sap and crm systems.  good knowledge of full microsoft office suite & it skills.  be able to show autonomy, flexibility and common sense when needed.  being an excellent leader – being able to coach and motivate your team to achieve group and individual targets, and quickly identify areas for improvement and development.  demonstrating outstanding product and systems knowledge.  acting as a company ambassador.  having exceptional professional and interpersonal skills - answering relevant stakeholders, questions and handling objections effectively, applying a structured approach when dealing with queries.  acting as a guardian of the culture - leading by example  demonstrating integrity and trustworthiness, according to company values  making our customers feel valued by essilorluxottica           show more                     show less",12
value excellence consultant,"strategy/planning, finance, and accounting/auditing",retail luxury goods and jewelry,12
quality control technician -  relocation to malta,quality assurance,"food and beverage services, industrial machinery manufacturing, and manufacturing",12
procurement specialist,,,12
m&a vice president,"business development, general business, and sales","our client, a well-established investment bank, is looking for a vice president to join their team in copenhagen.responsibilities: work alongside deal execution team and support new transaction structuring and execution as well as provide ongoing support to the current external partners;speak with clients and potential buyers, sellers, and investors, and handling deal and process-related requests;analyze and document business requirements, identifying and evaluating implications for clients, products, processes and functions;manage and support internal partners on various strategic projects and day-to-day task. requirements:5 years of progressive, post-bachelor's experience as a financial analyst/associate in the investment banking industry;bachelor’s or master’s degree in relevant field (finance, accounting, statistics, mathematics, economics etc.);native danish and fluent english, other european languages are a plus;knowledge of synthetic risk transfer framework, including operating processes, origination stages, capital calculation, payments and reporting;strong project management and organization skills.           show more                     show less",12
junior system engineer,information technology,"it services and it consulting, defense and space manufacturing, and security and investigations",12
post doctor – “clearcut-free” forestry in sweden,other,higher education,12
p-dag på katrinebjerg 2023,other,manufacturing,12
clinical trial associate,"research, analyst, and information technology",staffing and recruiting,12
infra project manager,other,it services and it consulting,12
senior procurement consultant - offshore wind,"business development, consulting, and supply chain",renewable energy semiconductor manufacturing and oil and gas,12
director of product development – hybrid denmark & hungary,product management and marketing,staffing and recruiting,12
controlling manager,sales and management,consumer services,12
business to business director – urgent hire,business development and sales,staffing and recruiting,12
project controller,accounting/auditing and finance,civil engineering,12
senior service delivery manager,project management and information technology,telecommunications,12
child nutrition assistant,health care provider,education administration programs,12
process engineer - food manufacturing,management and manufacturing,"food and beverage services, food and beverage manufacturing, and manufacturing",12
vp of product development,product management and marketing,computers and electronics manufacturing,12
consultant for commercial trade planning,management and manufacturing,retail,12
it business consultant,project management and consulting,computers and electronics manufacturing,12
intern for strategic sustainability consulting,management,civil engineering,12
"quality assurance assistant, gs-5, ft, qac, supply division, copenhagen, denmark","production, distribution, and supply chain",non-profit organizations and consumer services,12
executive assistant,,,12
enterprise architect / remote,information technology,it services and it consulting,12
"buyer, occasion and pants","purchasing, strategy/planning, and product management",retail apparel and fashion,12
risk graduate to ess in lund!,"research, analyst, and information technology",staffing and recruiting,12
head of operations,supply chain,"transportation, logistics, supply chain and storage",12
senior project manager,project management and information technology,wholesale building materials,12
data centre engineer (on demand model),information technology,"technology, information and internet",12
senior project manager,project management and information technology,wholesale building materials,12
"project manager, upstream partnership",project management and information technology,wholesale building materials,12
global project sales development manager,"manufacturing, product management, and engineering",industrial machinery manufacturing,12
production worker,,,12
foundation package manager,"management, engineering, and consulting",renewables & environment,12
projects director,management and manufacturing,real estate,12
head of development operations,business development and sales,staffing and recruiting,12
event- and marketing coordinator to camurus,marketing and sales,staffing and recruiting,12
lead program manager,"general business, administrative, and customer service",industrial machinery manufacturing,12
"payroll specialist for aarhus, denmark","human resources, administrative, and legal","transportation, logistics, supply chain and storage",12
senior consultant (salaried productivity),"consulting, information technology, and sales",industrial machinery manufacturing,12
"market head aarhus, dk",marketing and sales,financial services,12
"manager, international human resources",human resources,professional training and coaching,12
d365 f&o production/supply chain consultant,management and manufacturing,staffing and recruiting,12
business consultant – healthcare,"consulting, information technology, and sales",it services and it consulting,12
project manager,project management and information technology,construction,12
business to business director,business development and sales,staffing and recruiting,12
manufacturing engineer,"purchasing, supply chain, and manufacturing",manufacturing,12
associate to kpmg's financial due diligence team (deal advisory) in aarhus,consulting,business consulting and services,12
product developer,product management and marketing,textile manufacturing,12
global senior quality specialist,quality assurance,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
project supply coordinator,management and manufacturing,staffing and recruiting,12
"operational, logistics and purchasing manager",purchasing and supply chain,staffing and recruiting,12
shift leader,management and manufacturing,food and beverage services,12
global returns and repair operations manager,management and manufacturing,computers and electronics manufacturing,12
"business solution tester, finance",engineering and information technology,retail,12
manager to our strategy and operations team at bearingpoint,management and manufacturing,photography,12
senior d365 business central team lead - aarhus,project management and information technology,staffing and recruiting,12
project development manager,"project management, engineering, and management",renewable energy semiconductor manufacturing,12
donor engagement and resource mobilization specialist,management and manufacturing,international affairs,12
quality project manager,"business development, general business, and management","it services and it consulting, defense and space manufacturing, and security and investigations",12
head of supplier quality & compliance,legal,"appliances, electrical, and electronics manufacturing",12
consultant - capital excellence,"consulting, engineering, and project management","civil engineering, industrial machinery manufacturing, and oil and gas",12
scientist for qc general analytics,"research, analyst, and information technology",biotechnology research,12
warehouse manager,management and manufacturing,"appliances, electrical, and electronics manufacturing",12
technical manager vejle,engineering and information technology,automation machinery manufacturing,12
senior business development manager production ce,business development and sales,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
junior purschaser,purchasing and supply chain,staffing and recruiting,12
qa scientist - qa material management,"research, analyst, and information technology",biotechnology research,12
real estate planner,"management, project management, and other",wellness and fitness services,12
senior project manager,project management and information technology,renewable energy semiconductor manufacturing,12
head of communications,"marketing, public relations, and writing/editing",telecommunications,12
lean specialist,"strategy/planning, business development, and manufacturing",renewable energy semiconductor manufacturing,12
head of operations,management and manufacturing,"transportation, logistics, supply chain and storage",12
operations manager (denmark),management and manufacturing,financial services,12
"project manager, gmp pharma","project management, engineering, and manufacturing",industrial machinery manufacturing and pharmaceutical manufacturing,12
head of corporate r&d in cheonan,"research, analyst, and information technology",staffing and recruiting,12
process improvement expert,"engineering, consulting, and project management","food and beverage manufacturing, manufacturing, and hospitality",12
associate project manager,"business development, general business, and management","it services and it consulting, defense and space manufacturing, and security and investigations",12
production supervisor (relocate to malta),management and manufacturing,"food and beverage services, industrial machinery manufacturing, and manufacturing",12
ucn matchmaking 2023,"general business, other, and engineering","automation machinery manufacturing, industrial machinery manufacturing, and machinery manufacturing",12
lead offshore supervisor,"engineering, project management, and management","industrial machinery manufacturing, machinery manufacturing, and oil and gas",12
producer,"design, art/creative, and information technology",furniture and home furnishings manufacturing,12
retail achitecture project manager -nordics (m/f/d),project management and information technology,consumer goods,12
"senior consultant – renewable energy, denmark","consulting, information technology, and sales",renewable energy semiconductor manufacturing,12
quality and food safety manager/senior specialist in global qehs - aarhus,"research, analyst, and information technology","dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
client advisor - denmark (aarhus),"consulting, information technology, and sales",financial services,12
project manager,project management,renewable energy semiconductor manufacturing,12
head of programme – get hired fast,"consulting, information technology, and sales",staffing and recruiting,12
head of floating wind technology,information technology,staffing and recruiting,12
senior claims specialist - aarhus,finance and sales,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
senior analyst - global offshore wind fixed and floating capex modelling,research,information services,12
quality specialist,quality assurance,staffing and recruiting,12
operational scientist,"research, analyst, and information technology",biotechnology research,12
microbiologist/project manager to support reference laboratory functions for antimicrobial resistance - dtu food,project management and information technology,education administration programs and research services,12
senior project manager,project management and information technology,retail,12
#new spirit offshore programme - your entry point into the exciting world of offshore wind,other,utilities,12
commissioning manager,project management and engineering,construction and renewable energy semiconductor manufacturing,12
svanehøj is looking for a project manager for offshore and marine projects,other,human resources services,12
freelance sr. behavioral research & strategy consultant to help farmers e africa,consulting,"technology, information and internet",12
"junior hr business partner to our international zone - arla, copenhagen",human resources,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
mechanical engineer,engineering and information technology,it services and it consulting,12
procurement contract manager for business services - aarhus,purchasing and supply chain,"dairy product manufacturing, food and beverage manufacturing, and manufacturing",12
senior pm for new plant projects,project management and information technology,renewable energy semiconductor manufacturing,12
mechanical engineer,science,research services,12
document controller,engineering,pharmaceutical manufacturing,12
senior director digital transformation strategy,marketing and sales,staffing and recruiting,12
load engineer,,,12
garment technologist,,,12
legal counsel -copenhagen,legal,consumer services,12
"head of quintet, aarhus","analyst, finance, and sales","capital markets, banking, and investment management",12
d365 business consultant within production,"consulting, information technology, and sales",information technology & services,12
junior d365 bc developer,engineering and information technology,staffing and recruiting,12
b5 - strategic communication manager - “eu knowledge hub on prevention of radicalisation”,"marketing, public relations, and writing/editing",international affairs and government administration,12
networking engineer,information technology,staffing and recruiting,13
java developer,engineering and information technology,staffing and recruiting,13
fullstack developer (node.js & react),engineering and information technology,staffing and recruiting,13
full stack developer with a focus on the frontend,engineering and information technology,staffing and recruiting,13
student analyst,analyst and information technology,oil and gas and international trade and development,13
experienced software craftsman,management and manufacturing,software development,13
"algorithmic power trader - dubai, uae",finance and sales,"technology, information and internet",13
machine learning developer,engineering and information technology,staffing and recruiting,13
full stack developer (frontend heavy),engineering and information technology,staffing and recruiting,13
mid frontend developer,engineering and information technology,staffing and recruiting,13
european gas trader,supply chain,oil and gas and international trade and development,13
node.js developer,engineering and information technology,staffing and recruiting,13
front-end developer (internship),engineering and information technology,staffing and recruiting,13
"business analyst - dubai, uae","research, analyst, and information technology","technology, information and internet",13
cobol developer,information technology,staffing and recruiting,13
"full stack developer, laravel and vuejs",engineering and information technology,staffing and recruiting,13
java developer,engineering and information technology,staffing and recruiting,13
junior python developer (remote internship – it),engineering and information technology,"transportation, logistics, supply chain and storage",13
mid frontend developer,engineering and information technology,staffing and recruiting,13
full stack developer with a focus on the frontend,engineering and information technology,staffing and recruiting,13
frontend developer to international consultancy,engineering and information technology,it services and it consulting,13
machine learning developer,engineering and information technology,staffing and recruiting,13
react developer,engineering and information technology,staffing and recruiting,13
qa engineer,engineering and information technology,staffing and recruiting,13
frontend tech lead,sales and business development,staffing and recruiting,13
"js (react, node.js) developer",other,staffing and recruiting,13
"intraday power trader - dubai, uae",finance and sales,"technology, information and internet",13
"gas spot trader - dubai, uae",finance and sales,"technology, information and internet",13
senior python developer,engineering and information technology,staffing and recruiting,13
"software engineer - dubai, uae",engineering and information technology,"technology, information and internet",13
react developer,engineering and information technology,staffing and recruiting,13
c++ developer,engineering and information technology,staffing and recruiting,13
salesforce developer,information technology,staffing and recruiting,13
react developer,engineering and information technology,staffing and recruiting,13
senior developer for ml applications,"engineering, finance, and information technology",oil and gas,13
"js (react, node.js) developer",other,staffing and recruiting,13
qa engineer,engineering and information technology,staffing and recruiting,13
node.js developer with graphql,engineering and information technology,staffing and recruiting,13
senior python developer,engineering and information technology,utilities,13
software developer in risk,"finance, information technology, and engineering",oil and gas,13
fullstack developer (node.js & react),engineering and information technology,staffing and recruiting,13
"graduate software engineer - dubai, uae",engineering and information technology,"technology, information and internet",13
renewable energy trading & optimisation compliance advisory lead,management and manufacturing,utilities,13
"senior back-end developer - dubai, uae",engineering and information technology,"technology, information and internet",13
"intraday power trader - dubai, uae",finance and sales,"technology, information and internet",13
tibco developer,engineering and information technology,staffing and recruiting,13
frontend tech lead,sales and business development,staffing and recruiting,13
renewables portfolio manager,supply chain,international trade and development,13
android developer (java & kotlin),engineering and information technology,staffing and recruiting,13
android developer (java & kotlin),engineering and information technology,staffing and recruiting,13
full stack developer with a focus on the frontend,engineering and information technology,staffing and recruiting,13
trading solutions developer,engineering and information technology,"it services and it consulting, information services, and software development",13
sap s4 hana / basis specialist,information technology,staffing and recruiting,13
sap s4 hana / basis specialist,information technology,staffing and recruiting,13
renewable energy trading & optimisation compliance advisory lead,management and legal,oil and gas and utilities,13
"gas spot trader - dubai, uae",finance and sales,"technology, information and internet",13
cobol developer,information technology,staffing and recruiting,13
c++ developer,engineering and information technology,staffing and recruiting,13
java developer,engineering and information technology,staffing and recruiting,13
"js (react, node.js) developer",other,staffing and recruiting,13
